nome,morada,codigo_postal,data_criacao
Casa — Avenida Wilson Loureiro,"R. do Anjo, 4",7732-205,2021-10-08 10:15:59
Casa — Rua da Foz,"Avenida de Barbosa, S/N",9484-823,2023-07-12 09:00:25
Casa — Travessa de Monteiro,"R. de Eça de Queirós, 86",8677-560,2022-12-17 13:55:35
Casa — Travessa de Mota,"Alameda André Moura, 53",8842-052,2024-12-31 16:41:42
Casa — R. Mariana Costa,"R. de Moreira, 81",2532-643,2024-08-20 17:11:52
Casa — Travessa de Figueiredo,"Alameda Costa, 8",6246-491,2024-08-03 06:44:57
Casa — Av Pacheco,"Av Teresa Alves, 80",2973-875,2022-08-31 04:40:03
Casa — Travessa Martins,"Praça das Necessidades, 946",5451-673,2023-05-30 09:55:18
Casa — Alameda do Bicalho,"Travessa Eduardo Santos, 97",7760-612,2022-08-26 07:49:08
Casa — Avenida Maestro Ivo Cruz,"Av Eduardo Prado Coelho, 298",3253-977,2022-07-23 09:06:01
