id_sensor,valor,unidade,timestamp_leitura
2,311.06,kWh,2026-01-15 09:21:41
14,972.26,lx,2026-03-01 09:44:03
17,351.55,kWh,2026-01-28 02:10:22
15,26.86,°C,2026-01-20 07:05:49
5,18.50,°C,2026-03-17 09:16:26
10,26.59,°C,2026-02-20 13:11:21
4,29.44,°C,2026-01-14 08:23:32
9,824.39,lx,2026-02-19 18:07:02
2,75.06,kWh,2026-04-04 01:35:41
8,50.70,%,2026-05-01 08:56:25
9,212.42,kWh,2026-04-14 08:46:51
16,102.62,kWh,2026-03-06 13:08:21
5,294.94,lx,2026-02-11 16:32:13
6,20.13,°C,2026-02-24 23:36:18
13,300.89,lx,2026-01-21 00:04:35
12,29.08,°C,2026-03-30 06:41:44
17,754.19,lx,2026-03-12 06:50:23
17,43.11,%,2026-01-11 06:17:41
10,150.50,kWh,2026-04-24 03:48:26
5,602.55,lx,2026-02-24 01:25:44
4,417.13,kWh,2026-03-29 21:58:40
7,253.36,kWh,2026-01-15 10:28:57
9,139.21,lx,2026-01-26 09:21:21
10,86.93,kWh,2026-03-07 02:44:49
17,18.32,°C,2026-02-20 14:29:36
7,61.63,%,2026-03-25 15:14:57
19,60.89,%,2026-01-22 02:49:27
6,38.25,%,2026-02-15 11:07:55
5,32.13,%,2026-04-30 02:12:02
8,330.23,lx,2026-04-21 07:12:43
3,820.91,lx,2026-01-29 01:49:59
13,223.38,kWh,2026-05-08 00:30:53
14,29.23,°C,2026-02-10 02:59:30
5,109.32,lx,2026-03-04 17:51:14
10,17.60,°C,2026-01-27 19:42:11
20,738.92,lx,2026-03-23 23:46:54
12,29.36,°C,2026-02-08 13:12:18
6,14.88,°C,2026-04-20 06:23:11
2,689.75,lx,2026-02-21 09:58:13
10,152.64,kWh,2026-03-05 15:03:11
2,1.42,kWh,2026-03-18 09:47:24
16,366.04,kWh,2026-04-19 22:30:14
4,47.51,%,2026-05-05 22:01:40
8,244.21,kWh,2026-04-18 03:43:47
5,74.79,%,2026-03-17 22:31:00
6,27.06,°C,2026-02-24 12:50:09
14,254.30,lx,2026-02-02 20:35:47
4,28.37,°C,2026-02-11 23:30:06
14,964.12,lx,2026-01-25 12:55:25
16,63.16,%,2026-02-06 16:41:45
13,25.27,lx,2026-03-10 03:19:19
4,406.34,lx,2026-04-23 06:09:46
16,16.73,°C,2026-02-16 03:56:06
8,785.93,lx,2026-03-10 11:44:29
1,653.27,lx,2026-05-04 09:17:11
15,368.18,lx,2026-03-18 12:09:06
9,149.30,kWh,2026-02-19 02:29:44
16,71.24,%,2026-05-04 12:34:34
13,361.49,lx,2026-01-21 12:29:57
1,76.49,%,2026-01-20 08:53:22
18,949.76,lx,2026-01-25 00:48:07
1,446.88,lx,2026-04-06 04:57:46
12,26.33,lx,2026-04-10 23:33:51
9,35.20,%,2026-03-30 19:31:25
3,60.99,%,2026-02-01 00:39:22
10,76.69,%,2026-03-05 01:01:58
19,46.12,lx,2026-01-25 18:57:00
12,743.39,lx,2026-05-01 19:06:12
13,15.90,°C,2026-04-25 01:59:21
12,20.14,°C,2026-03-19 00:22:37
19,39.61,%,2026-03-22 05:37:34
3,215.58,lx,2026-04-12 05:22:34
7,652.02,lx,2026-01-30 18:24:48
10,22.74,°C,2026-02-12 12:59:06
2,133.32,kWh,2026-03-28 20:09:42
13,970.38,lx,2026-02-02 03:17:22
4,659.83,lx,2026-03-22 10:44:44
10,153.79,kWh,2026-05-09 18:06:25
19,231.89,kWh,2026-02-22 16:47:28
12,65.91,%,2026-02-13 05:41:03
14,664.49,lx,2026-01-18 12:18:26
5,27.33,°C,2026-03-20 16:17:37
17,80.15,%,2026-02-16 08:19:22
6,899.38,lx,2026-04-24 03:50:51
20,109.03,kWh,2026-05-04 03:29:30
8,61.84,%,2026-01-19 15:23:33
16,16.67,°C,2026-02-02 01:30:38
8,212.74,lx,2026-04-11 22:07:59
9,151.91,kWh,2026-05-04 06:34:09
16,39.46,%,2026-04-11 18:44:03
2,67.11,kWh,2026-05-02 00:06:36
6,42.17,%,2026-01-21 15:44:15
15,54.75,%,2026-02-26 16:19:28
12,56.09,%,2026-04-19 23:57:17
15,187.22,kWh,2026-02-28 21:57:59
13,66.63,%,2026-03-01 23:50:59
20,117.60,lx,2026-04-08 12:59:14
19,24.79,°C,2026-04-20 22:27:01
2,36.19,%,2026-01-13 14:55:53
4,292.68,kWh,2026-04-05 07:34:21
1,119.60,lx,2026-02-02 02:17:12
3,248.94,lx,2026-04-13 20:45:05
12,233.08,kWh,2026-03-02 00:10:07
6,344.24,lx,2026-01-28 16:00:04
18,54.78,%,2026-02-28 21:00:18
11,826.62,lx,2026-02-23 20:33:12
4,63.57,%,2026-04-09 18:09:17
15,25.07,°C,2026-01-14 07:19:05
3,422.49,lx,2026-02-26 05:39:04
20,342.36,kWh,2026-01-22 06:34:04
10,27.38,kWh,2026-03-22 03:57:00
2,28.07,°C,2026-02-02 14:52:15
10,352.10,lx,2026-03-09 22:28:45
16,785.74,lx,2026-02-04 19:54:39
20,298.13,kWh,2026-02-03 13:45:36
10,332.33,kWh,2026-02-02 02:37:25
6,310.33,kWh,2026-03-25 07:27:59
9,27.55,°C,2026-02-06 12:48:36
12,386.27,kWh,2026-02-07 06:39:26
11,720.39,lx,2026-05-07 02:04:16
