nome,morada,codigo_postal,data_criacao
Casa — Travessa Carminho Coelho,"Largo de Rodrigues, 7",1066-042,2022-05-08 07:57:36
Casa — Largo Amélia Carvalheira,"Avenida de Campos, 940",6062-115,2026-02-20 04:51:35
Casa — Largo Erika Pinto,"Largo de Neto, 26",5898-497,2021-04-30 12:25:58
Casa — Alameda dos Anjos,"Alameda Vieira, 46",8121-546,2023-02-23 09:20:48
Casa — R. das Japoneiras,"R. de Brito, 56",6969-111,2023-01-04 13:29:41
Casa — Av Nair Martins,"Largo Pinheiro, 23",3130-995,2024-07-21 09:26:24
Casa — Avenida de Macedo,"Rua do Calvário, 139",8742-224,2025-11-28 09:21:44
Casa — Avenida de Henriques,"Av Amorim, 312",6586-503,2025-04-02 06:43:29
Casa — Largo das Garças,"Rua Alves, 29",8091-518,2024-02-02 12:35:34
Casa — Travessa Edgar Esteves,"R. de Silva, 85",8637-290,2025-09-19 19:38:58
